date_time,City,State,Shape,duration_sec,log_sec
1/31/19 04:30,Seattle,WA,Circle,300,5.703782474656201
1/21/19 20:30,Bothell,WA,Oval,900,6.802394763324311
1/21/19 04:00,Longview,WA,Circle,1200,7.090076835776092
1/12/19 10:30,Shelton,WA,Disk,180,5.19295685089021
1/10/19 17:49,Bonneylake,WA,Rectangle,120,4.787491742782046
12/30/18 18:00,Spokane,WA,Circle,1200,7.090076835776092
12/30/18 18:00,Spokane,WA,Fireball,600,6.396929655216146
12/25/18 14:13,Richland,WA,Cylinder,10800,9.287301413112312
11/23/18 05:54,Greenwater,WA,Sphere,600,6.396929655216146
11/18/18 10:45,Auburn,WA,Sphere,90,4.499809670330265
11/12/18 03:00,Cowlitz,WA,Sphere,720,6.579251212010101
11/9/18 19:50,Monroe,WA,Fireball,15,2.70805020110221
10/30/18 11:45,Mt. Rainier area,WA,Triangle,20,2.995732273553991
10/24/18 22:20,University Place,WA,Sphere,120,4.787491742782046
10/18/18 20:00,Cheney,WA,Disk,300,5.703782474656201
